lowercase_lemma,count,type,subtypes,DBpedia_URL,Wikipage,min_relevance,max_relevance,median_relevance,avg_relevance,stdev_relevance,sentiment_labels,min_sentiment_score,max_sentiment_score,median_sentiment_score,avg_sentiment_score,stdev_sentiment_score,min_emotion_sadness,max_emotion_sadness,median_emotion_sadness,avg_emotion_sadness,stdev_emotion_sadness,min_emotion_fear,max_emotion_fear,median_emotion_fear,avg_emotion_fear,stdev_emotion_fear,min_emotion_joy,max_emotion_joy,median_emotion_joy,avg_emotion_joy,stdev_emotion_joy,min_emotion_anger,max_emotion_anger,median_emotion_anger,avg_emotion_anger,stdev_emotion_anger,min_emotion_disgust,max_emotion_disgust,median_emotion_disgust,avg_emotion_disgust,stdev_emotion_disgust
advanced nation,2,['Organization'],['NONE'],['NONE'],['NONE'],0.317985,0.317985,0.317985,0.317985,0.0,['neutral'],0.0,0.0,0.0,0.0,0.0,0.395505,0.395505,0.395505,0.395505,0.0,0.037408,0.037408,0.037408,0.037408,0.0,0.510844,0.510844,0.510844,0.510844,0.0,0.042031,0.042031,0.042031,0.042031,0.0,0.044987,0.044987,0.044987,,0.0
aerospace entertainment,1,['Company'],['NONE'],['NONE'],['NONE'],0.316877,0.316877,0.316877,0.316877,,['neutral'],0.0,0.0,0.0,0.0,,0.243552,0.243552,0.243552,0.243552,,0.086564,0.086564,0.086564,0.086564,,0.047916,0.047916,0.047916,0.047916,,0.128957,0.128957,0.128957,0.128957,,0.331556,0.331556,0.331556,,
afc,3,['Organization'],['NONE'],['NONE'],['NONE'],0.235828,0.318799,0.25321,0.269279,0.04375735687858671,['negative' 'neutral'],-0.346914,0.0,-0.29570100000000005,-0.214205,0.18726593219536755,0.335406,0.402292,0.372647,0.37011499999999997,0.03351481041271157,0.129052,0.603336,0.164196,0.29886133333333337,0.26426765251413825,0.047281000000000004,0.229564,0.21711799999999998,0.16465433333333332,0.10183859907880377,0.021296000000000002,0.21882100000000002,0.18151,0.14054233333333332,0.10494185861863384,0.034391000000000005,0.162704,0.04703,,0.07071591589592827
afghanistan,3,['Location'],"['Country' 'GovernmentalJurisdiction, MilitaryPost, Country']",['NONE' 'http://dbpedia.org/resource/Afghanistan'],['NONE' 'http://en.wikipedia.org/wiki/Afghanistan'],0.128125,0.339933,0.176459,0.214839,0.11099741220406897,['neutral'],0.0,0.0,0.0,0.0,0.0,0.16834100000000002,0.39294,0.219708,0.2603296666666666,0.11768078667451766,0.027669,0.146623,0.10689000000000001,0.09372733333333333,0.060559519270989376,0.270938,0.526303,0.31178,0.3696736666666667,0.13717353347615321,0.045850999999999996,0.183503,0.07678099999999999,0.10204499999999998,0.07221994563830687,0.03469,0.071582,0.05361799999999999,,0.018448099016791227
africa,53,['Location'],['Continent' 'Country'],['http://dbpedia.org/resource/Africa' 'NONE'],['http://en.wikipedia.org/wiki/Africa' 'NONE'],0.18321199999999999,0.9021030000000001,0.455449,0.5062543396226415,0.19276921012962062,['positive' 'negative' 'neutral'],-0.736684,0.978563,0.0,0.15036049056603776,0.47689882520737853,0.014747,0.64627,0.304379,0.3117493018867924,0.1645379043354431,0.007081000000000001,0.8460469999999999,0.08544600000000001,0.10809541509433965,0.11990682898151088,0.063051,0.841332,0.481437,0.4203474339622642,0.23524858507401758,0.009512,0.287046,0.066746,0.08892203773584906,0.060703110400906986,0.021584,0.46527399999999997,0.105401,,0.09446132335213639
african community development,1,['Organization'],['NONE'],['NONE'],['NONE'],0.444225,0.444225,0.444225,0.444225,,['positive'],0.625274,0.625274,0.625274,0.625274,,0.276713,0.276713,0.276713,0.276713,,0.02429,0.02429,0.02429,0.02429,,0.652492,0.652492,0.652492,0.652492,,0.05438099999999999,0.05438099999999999,0.05438099999999999,0.05438099999999999,,0.006701,0.006701,0.006701,,
african community kumasi,1,['Organization'],['NONE'],['NONE'],['NONE'],0.49475600000000003,0.49475600000000003,0.49475600000000003,0.49475600000000003,,['neutral'],0.0,0.0,0.0,0.0,,0.21293,0.21293,0.21293,0.21293,,0.020047,0.020047,0.020047,0.020047,,0.690567,0.690567,0.690567,0.690567,,0.06340499999999999,0.06340499999999999,0.06340499999999999,0.06340499999999999,,0.029904000000000007,0.029904000000000007,0.029904000000000007,,
african customs union,2,['Organization'],['NONE'],['NONE'],['NONE'],0.48892299999999994,0.500992,0.49495749999999994,0.49495749999999994,0.008534071742140478,['positive' 'negative'],-0.402381,0.558476,0.07804749999999999,0.07804749999999999,0.6794285004505625,0.343541,0.650626,0.4970835,0.4970835,0.217141885900671,0.061979999999999986,0.235648,0.148814,0.148814,0.12280182047510535,0.038388,0.407378,0.222883,0.222883,0.2609153311900242,0.088439,0.121366,0.10490250000000001,0.10490250000000001,0.023282904984129448,0.026371,0.043514,0.0349425,,0.012121931549880982
african market,1,['Company'],['NONE'],['NONE'],['NONE'],0.428091,0.428091,0.428091,0.428091,,['positive'],0.629351,0.629351,0.629351,0.629351,,0.06372,0.06372,0.06372,0.06372,,0.05032,0.05032,0.05032,0.05032,,0.537419,0.537419,0.537419,0.537419,,0.129876,0.129876,0.129876,0.129876,,0.06169400000000001,0.06169400000000001,0.06169400000000001,,
african middle class,1,['Organization'],['NONE'],['NONE'],['NONE'],0.448562,0.448562,0.448562,0.448562,,['positive'],0.21139000000000002,0.21139000000000002,0.21139000000000002,0.21139000000000002,,0.329014,0.329014,0.329014,0.329014,,0.124589,0.124589,0.124589,0.124589,,0.375678,0.375678,0.375678,0.375678,,0.150816,0.150816,0.150816,0.150816,,0.063041,0.063041,0.063041,,
african state,1,['Organization'],['NONE'],['NONE'],['NONE'],0.260859,0.260859,0.260859,0.260859,,['neutral'],0.0,0.0,0.0,0.0,,0.41039499999999995,0.41039499999999995,0.41039499999999995,0.41039499999999995,,0.029511000000000006,0.029511000000000006,0.029511000000000006,0.029511000000000006,,0.521834,0.521834,0.521834,0.521834,,0.055922,0.055922,0.055922,0.055922,,0.012478,0.012478,0.012478,,
african states,1,['Organization'],['NONE'],['NONE'],['NONE'],0.331928,0.331928,0.331928,0.331928,,['positive'],0.639864,0.639864,0.639864,0.639864,,0.399275,0.399275,0.399275,0.399275,,0.050522000000000004,0.050522000000000004,0.050522000000000004,0.050522000000000004,,0.32663600000000004,0.32663600000000004,0.32663600000000004,0.32663600000000004,,0.152115,0.152115,0.152115,0.152115,,0.202568,0.202568,0.202568,,
african union johannesburg summit,1,['Organization'],['NONE'],['NONE'],['NONE'],0.4391640000000001,0.4391640000000001,0.4391640000000001,0.4391640000000001,,['neutral'],0.0,0.0,0.0,0.0,,0.5492,0.5492,0.5492,0.5492,,0.017108,0.017108,0.017108,0.017108,,0.295743,0.295743,0.295743,0.295743,,0.116926,0.116926,0.116926,0.116926,,0.12325699999999999,0.12325699999999999,0.12325699999999999,,
african union summit,2,['Organization'],['NONE'],['NONE'],['NONE'],0.388444,0.565347,0.4768955,0.4768955,0.12508931091224385,['neutral'],0.0,0.0,0.0,0.0,0.0,0.35529299999999997,0.388602,0.3719475,0.3719475,0.023553019774542733,0.044861,0.106801,0.075831,0.075831,0.04379819402669475,0.15204600000000001,0.242215,0.19713050000000001,0.19713050000000001,0.0637591113528098,0.15307,0.28342,0.21824500000000002,0.21824500000000002,0.09217136892766646,0.072216,0.12145999999999996,0.09683799999999998,,0.034820766332750316
africans,1,['Location'],['Country'],['NONE'],['NONE'],0.390546,0.390546,0.390546,0.390546,,['positive'],0.057771,0.057771,0.057771,0.057771,,0.196472,0.196472,0.196472,0.196472,,0.074575,0.074575,0.074575,0.074575,,0.604638,0.604638,0.604638,0.604638,,0.177569,0.177569,0.177569,0.177569,,0.095496,0.095496,0.095496,,
africans civil society,1,['Organization'],['NONE'],['NONE'],['NONE'],0.27954,0.27954,0.27954,0.27954,,['positive'],0.9133389999999999,0.9133389999999999,0.9133389999999999,0.9133389999999999,,0.181647,0.181647,0.181647,0.181647,,0.022264,0.022264,0.022264,0.022264,,0.554646,0.554646,0.554646,0.554646,,0.029066,0.029066,0.029066,0.029066,,0.012154,0.012154,0.012154,,
ahmad el complejo,1,['Person'],['NONE'],['NONE'],['NONE'],0.41326899999999994,0.41326899999999994,0.41326899999999994,0.41326899999999994,,['neutral'],0.0,0.0,0.0,0.0,,0.643972,0.643972,0.643972,0.643972,,0.187878,0.187878,0.187878,0.187878,,0.13733399999999998,0.13733399999999998,0.13733399999999998,0.13733399999999998,,0.12573499999999999,0.12573499999999999,0.12573499999999999,0.12573499999999999,,0.057388,0.057388,0.057388,,
aipac,1,['Person'],['NONE'],['NONE'],['NONE'],0.341908,0.341908,0.341908,0.341908,,['neutral'],0.0,0.0,0.0,0.0,,0.125716,0.125716,0.125716,0.125716,,0.160675,0.160675,0.160675,0.160675,,0.49957399999999996,0.49957399999999996,0.49957399999999996,0.49957399999999996,,0.080911,0.080911,0.080911,0.080911,,0.123151,0.123151,0.123151,,
al jazeera chiba,1,['Person'],['NONE'],['NONE'],['NONE'],0.5223439999999999,0.5223439999999999,0.5223439999999999,0.5223439999999999,,['positive'],0.453816,0.453816,0.453816,0.453816,,0.015269999999999999,0.015269999999999999,0.015269999999999999,0.015269999999999999,,0.078173,0.078173,0.078173,0.078173,,0.37090300000000004,0.37090300000000004,0.37090300000000004,0.37090300000000004,,0.068832,0.068832,0.068832,0.068832,,0.10147,0.10147,0.10147,,
alabama,3,['Location'],"['StateOrCounty'
 'PoliticalDistrict, AdministrativeDivision, GovernmentalJurisdiction, USState, StateOrCounty']",['NONE' 'http://dbpedia.org/resource/Alabama'],['NONE' 'http://en.wikipedia.org/wiki/Alabama'],0.16159,0.237746,0.181504,0.19361333333333333,0.03949570925218755,['neutral' 'negative'],-0.526804,0.0,-0.353013,-0.29327233333333336,0.2684349530972696,0.0,0.371104,0.15200999999999998,0.17437133333333332,0.18655982050091421,0.0,0.09531,0.06679600000000001,0.054035333333333345,0.04891957670844397,0.0,0.319673,0.160146,0.15993966666666667,0.15983659988354773,0.0,0.20140999999999998,0.099027,0.10014566666666665,0.10070965984618026,0.0,0.171811,0.11231500000000001,,0.08724816422328514
alarum group,1,['Company'],['NONE'],['NONE'],['NONE'],0.191968,0.191968,0.191968,0.191968,,['positive'],0.887862,0.887862,0.887862,0.887862,,0.032764999999999996,0.032764999999999996,0.032764999999999996,0.032764999999999996,,0.005611,0.005611,0.005611,0.005611,,0.8201450000000001,0.8201450000000001,0.8201450000000001,0.8201450000000001,,0.013861000000000002,0.013861000000000002,0.013861000000000002,0.013861000000000002,,0.123125,0.123125,0.123125,,
albania,1,['Location'],"['GovernmentalJurisdiction, Country']",['http://dbpedia.org/resource/Albania'],['http://en.wikipedia.org/wiki/Albania'],0.361605,0.361605,0.361605,0.361605,,['neutral'],0.0,0.0,0.0,0.0,,0.18573199999999998,0.18573199999999998,0.18573199999999998,0.18573199999999998,,0.126683,0.126683,0.126683,0.126683,,0.25749299999999997,0.25749299999999997,0.25749299999999997,0.25749299999999997,,0.15179600000000001,0.15179600000000001,0.15179600000000001,0.15179600000000001,,0.122055,0.122055,0.122055,,
alex canada,1,['Company'],['NONE'],['NONE'],['NONE'],0.254618,0.254618,0.254618,0.254618,,['neutral'],0.0,0.0,0.0,0.0,,0.414242,0.414242,0.414242,0.414242,,0.053266999999999995,0.053266999999999995,0.053266999999999995,0.053266999999999995,,0.32416100000000003,0.32416100000000003,0.32416100000000003,0.32416100000000003,,0.044364999999999995,0.044364999999999995,0.044364999999999995,0.044364999999999995,,0.106556,0.106556,0.106556,,
alexander donna,1,['Person'],['NONE'],['NONE'],['NONE'],0.151257,0.151257,0.151257,0.151257,,['neutral'],0.0,0.0,0.0,0.0,,0.079126,0.079126,0.079126,0.079126,,0.12858599999999998,0.12858599999999998,0.12858599999999998,0.12858599999999998,,0.438355,0.438355,0.438355,0.438355,,0.097102,0.097102,0.097102,0.097102,,0.035959,0.035959,0.035959,,
alexander hamilton,2,['Person'],"['Politician, MilitaryPerson, OfficeHolder, U.S.Congressperson']",['http://dbpedia.org/resource/Alexander_Hamilton'],['http://en.wikipedia.org/wiki/Alexander_Hamilton'],0.12304000000000001,0.66345,0.393245,0.393245,0.3821275756210222,['neutral' 'negative'],-0.322824,0.0,-0.161412,-0.161412,0.22827103952976602,0.37141799999999997,0.467021,0.41921949999999997,0.41921949999999997,0.06760152960177754,0.025574,0.037909,0.0317415,0.0317415,0.008722162145936062,0.281667,0.343376,0.3125215,0.3125215,0.04363485236024067,0.21787800000000002,0.25308800000000004,0.23548300000000003,0.23548300000000003,0.024897229765578354,0.061177999999999996,0.097353,0.07926549999999999,,0.025579587809423356
ali baba,3,['Person'],['Actor'],['http://dbpedia.org/resource/Ali_(actor)'],['http://en.wikipedia.org/wiki/Ali_(actor)'],0.198298,0.525373,0.295719,0.3397966666666667,0.167933452386156,['neutral' 'negative'],-0.664456,0.0,0.0,-0.22148533333333334,0.383623850464662,0.184187,0.45638500000000004,0.188243,0.2762716666666667,0.15599590513001726,0.041273000000000004,0.21887199999999998,0.067578,0.10924099999999999,0.0958499106781013,0.033639999999999996,0.181411,0.164975,0.12667533333333333,0.08098898357389932,0.06903,0.141873,0.095103,0.102002,0.036908302765096095,0.107026,0.538672,0.138722,,0.24058363349432843
alistair macleod,1,['Person'],"['AwardNominee, AwardWinner']",['http://dbpedia.org/resource/Alistair_MacLeod'],['http://en.wikipedia.org/wiki/Alistair_MacLeod'],0.20542399999999997,0.20542399999999997,0.20542399999999997,0.20542399999999997,,['neutral'],0.0,0.0,0.0,0.0,,0.209394,0.209394,0.209394,0.209394,,0.11016500000000001,0.11016500000000001,0.11016500000000001,0.11016500000000001,,0.496629,0.496629,0.496629,0.496629,,0.18221500000000002,0.18221500000000002,0.18221500000000002,0.18221500000000002,,0.091737,0.091737,0.091737,,
all steel imports,1,['Company'],['NONE'],['NONE'],['NONE'],0.327543,0.327543,0.327543,0.327543,,['positive'],0.525818,0.525818,0.525818,0.525818,,0.319765,0.319765,0.319765,0.319765,,0.129358,0.129358,0.129358,0.129358,,0.312425,0.312425,0.312425,0.312425,,0.064082,0.064082,0.064082,0.064082,,0.059045000000000014,0.059045000000000014,0.059045000000000014,,
alliance of men,1,['Organization'],['NONE'],['NONE'],['NONE'],0.335044,0.335044,0.335044,0.335044,,['neutral'],0.0,0.0,0.0,0.0,,0.309686,0.309686,0.309686,0.309686,,0.171506,0.171506,0.171506,0.171506,,0.11589200000000001,0.11589200000000001,0.11589200000000001,0.11589200000000001,,0.222827,0.222827,0.222827,0.222827,,0.11414300000000001,0.11414300000000001,0.11414300000000001,,
ally,1,['Person'],['NONE'],['NONE'],['NONE'],0.319432,0.319432,0.319432,0.319432,,['neutral'],0.0,0.0,0.0,0.0,,0.529911,0.529911,0.529911,0.529911,,0.043421,0.043421,0.043421,0.043421,,0.24386,0.24386,0.24386,0.24386,,0.183579,0.183579,0.183579,0.183579,,0.167997,0.167997,0.167997,,
almaty,1,['Location'],"['AdministrativeDivision, City']",['http://dbpedia.org/resource/Almaty'],['http://en.wikipedia.org/wiki/Almaty'],0.327454,0.327454,0.327454,0.327454,,['neutral'],0.0,0.0,0.0,0.0,,0.37185999999999997,0.37185999999999997,0.37185999999999997,0.37185999999999997,,0.15436,0.15436,0.15436,0.15436,,0.08842799999999999,0.08842799999999999,0.08842799999999999,0.08842799999999999,,0.217865,0.217865,0.217865,0.217865,,0.14915799999999999,0.14915799999999999,0.14915799999999999,,
amar,1,['Company'],['NONE'],['NONE'],['NONE'],0.177503,0.177503,0.177503,0.177503,,['neutral'],0.0,0.0,0.0,0.0,,0.473513,0.473513,0.473513,0.473513,,0.18895599999999999,0.18895599999999999,0.18895599999999999,0.18895599999999999,,0.042238,0.042238,0.042238,0.042238,,0.227001,0.227001,0.227001,0.227001,,0.278382,0.278382,0.278382,,
amazon,3,['Company'],['NONE'],['NONE'],['NONE'],0.075709,0.194831,0.14202599999999999,0.137522,0.05968858544981612,['neutral' 'positive'],0.0,0.506644,0.0,0.16888133333333333,0.2925110497833087,0.181038,0.506351,0.481625,0.3896713333333333,0.18110423684258006,0.025325999999999998,0.049434,0.045752999999999995,0.04017099999999999,0.012987222913309834,0.26709,0.32918400000000003,0.304475,0.3002496666666667,0.03126189838019013,0.076939,0.122099,0.09675399999999999,0.09859733333333333,0.0226363603155042,0.052483,0.07885,0.054645000000000006,,0.014638846482333686
amber road,1,['Person'],['NONE'],['NONE'],['NONE'],0.8429469999999999,0.8429469999999999,0.8429469999999999,0.8429469999999999,,['positive'],0.625684,0.625684,0.625684,0.625684,,0.28473000000000004,0.28473000000000004,0.28473000000000004,0.28473000000000004,,0.294925,0.294925,0.294925,0.294925,,0.450237,0.450237,0.450237,0.450237,,0.034544,0.034544,0.034544,0.034544,,0.002456,0.002456,0.002456,,
amelia rebecca,1,['Person'],['NONE'],['NONE'],['NONE'],0.214375,0.214375,0.214375,0.214375,,['positive'],0.702439,0.702439,0.702439,0.702439,,0.071239,0.071239,0.071239,0.071239,,0.029601,0.029601,0.029601,0.029601,,0.317841,0.317841,0.317841,0.317841,,0.047743,0.047743,0.047743,0.047743,,0.085454,0.085454,0.085454,,
america,61,['Location'],"['Continent'
 'Region, AdministrativeDivision, GovernmentalJurisdiction, FilmEditor, Country']",['NONE' 'http://dbpedia.org/resource/United_States'],['NONE' 'http://en.wikipedia.org/wiki/United_States'],0.139139,0.8272370000000001,0.352998,0.3821507704918033,0.1644298269089678,['positive' 'negative' 'neutral'],-0.858309,0.935602,0.0,-0.09643918032786887,0.4450641823012537,0.0,0.788346,0.32498699999999997,0.31760978688524605,0.18931046464446652,0.0,0.612341,0.099096,0.1150884918032787,0.10511976424815381,0.0,0.740538,0.24139499999999997,0.28398678688524587,0.219628197700729,0.0,0.377463,0.09639600000000001,0.11486518032786884,0.09347616664539116,0.0,0.57115,0.147357,,0.12969707080583667
american business,2,['Company'],['NONE'],['NONE'],['NONE'],0.575853,0.59982,0.5878365,0.5878365,0.016947228224698036,['neutral'],0.0,0.0,0.0,0.0,0.0,0.33761399999999997,0.33761399999999997,0.33761399999999997,0.33761399999999997,0.0,0.087351,0.087351,0.087351,0.087351,0.0,0.112451,0.112451,0.112451,0.112451,0.0,0.316308,0.316308,0.316308,0.316308,0.0,0.339424,0.339424,0.339424,,0.0
american court,1,['Organization'],['NONE'],['NONE'],['NONE'],0.344238,0.344238,0.344238,0.344238,,['negative'],-0.612563,-0.612563,-0.612563,-0.612563,,0.15365499999999999,0.15365499999999999,0.15365499999999999,0.15365499999999999,,0.294097,0.294097,0.294097,0.294097,,0.019302,0.019302,0.019302,0.019302,,0.263797,0.263797,0.263797,0.263797,,0.5854020000000001,0.5854020000000001,0.5854020000000001,,
american enterprise institute,1,['Organization'],['AwardPresentingOrganization'],['http://dbpedia.org/resource/American_Enterprise_Institute'],['http://en.wikipedia.org/wiki/American_Enterprise_Institute'],0.433712,0.433712,0.433712,0.433712,,['neutral'],0.0,0.0,0.0,0.0,,0.395542,0.395542,0.395542,0.395542,,0.029283999999999998,0.029283999999999998,0.029283999999999998,0.029283999999999998,,0.175492,0.175492,0.175492,0.175492,,0.22291999999999998,0.22291999999999998,0.22291999999999998,0.22291999999999998,,0.390817,0.390817,0.390817,,
american factory,1,['Organization'],['NONE'],['NONE'],['NONE'],0.201433,0.201433,0.201433,0.201433,,['negative'],-0.628088,-0.628088,-0.628088,-0.628088,,0.6749310000000001,0.6749310000000001,0.6749310000000001,0.6749310000000001,,0.022545,0.022545,0.022545,0.022545,,0.01414,0.01414,0.01414,0.01414,,0.21021199999999998,0.21021199999999998,0.21021199999999998,0.21021199999999998,,0.322015,0.322015,0.322015,,
american farmer,1,['Organization'],['NONE'],['NONE'],['NONE'],0.15273699999999998,0.15273699999999998,0.15273699999999998,0.15273699999999998,,['negative'],-0.412045,-0.412045,-0.412045,-0.412045,,0.639154,0.639154,0.639154,0.639154,,0.054736,0.054736,0.054736,0.054736,,0.086475,0.086475,0.086475,0.086475,,0.104702,0.104702,0.104702,0.104702,,0.222171,0.222171,0.222171,,
american goods,3,['Company'],['NONE'],['NONE'],['NONE'],0.24970799999999999,0.888367,0.47167,0.5365816666666666,0.32423983857992117,['neutral' 'negative'],-0.584685,0.0,0.0,-0.194895,0.33756804214113634,0.049718,0.589407,0.392852,0.3439923333333333,0.27314191265774895,0.010554000000000001,0.057583,0.029776,0.03263766666666667,0.023644736461490394,0.162134,0.858284,0.659561,0.559993,0.3585966335494521,0.039898,0.13003900000000002,0.118173,0.09603666666666667,0.04897818810790507,0.030933,0.21617199999999998,0.09981799999999999,,0.09362770571257205
american goods france,1,['Company'],['NONE'],['NONE'],['NONE'],0.15729,0.15729,0.15729,0.15729,,['positive'],0.531762,0.531762,0.531762,0.531762,,0.134218,0.134218,0.134218,0.134218,,0.034776,0.034776,0.034776,0.034776,,0.415159,0.415159,0.415159,0.415159,,0.062739,0.062739,0.062739,0.062739,,0.12132899999999999,0.12132899999999999,0.12132899999999999,,
american products,1,['Company'],['NONE'],['NONE'],['NONE'],0.476448,0.476448,0.476448,0.476448,,['positive'],0.618052,0.618052,0.618052,0.618052,,0.524184,0.524184,0.524184,0.524184,,0.047907,0.047907,0.047907,0.047907,,0.11063599999999996,0.11063599999999996,0.11063599999999996,0.11063599999999996,,0.09881000000000001,0.09881000000000001,0.09881000000000001,0.09881000000000001,,0.19709400000000002,0.19709400000000002,0.19709400000000002,,
american stock exchange,1,['Organization'],"['Location, Facility, HistoricPlace, Building, Company']",['http://dbpedia.org/resource/American_Stock_Exchange'],['http://en.wikipedia.org/wiki/American_Stock_Exchange'],0.233767,0.233767,0.233767,0.233767,,['neutral'],0.0,0.0,0.0,0.0,,0.38195300000000004,0.38195300000000004,0.38195300000000004,0.38195300000000004,,0.049234,0.049234,0.049234,0.049234,,0.06866799999999999,0.06866799999999999,0.06866799999999999,0.06866799999999999,,0.11118099999999999,0.11118099999999999,0.11118099999999999,0.11118099999999999,,0.198018,0.198018,0.198018,,
